name,run_id,model_name,task_name,data_split_seed,validation_metric,validation_crps,validation_rmse,test_crps,test_rmse,fitting_time_s,validation_prediction_time_s,test_prediction_time_s,validation_rmse_best,validation_rmse_best_epoch,validation_rmse_best_restored,model.params.dropout,model.train_params.learning_rate,validation_fixed_effect_residual_rmse,test_fixed_effect_residual_rmse,model.np_params.dropout,model.np_train_params.learning_rate,model.np_train_params.epochs_per_round,model.lgbm_params.learning_rate,model.lgbm_params.lambda_l2,model.lgbm_params.min_data_in_leaf,model.lgbm_params.num_leaves,model.lgbm_params.max_bin,model.lgbm_params.max_depth,model.train_params.lambda_l2,model.train_params.min_data_in_leaf,model.train_params.num_leaves,model.train_params.max_bin,model.train_params.max_depth
npboost-in_context-log_price-seed0,tbpbqouv,npboost,in_context,0,rmse,0.1242391251428389,0.2563280471842658,0.1263582231938842,0.2616481651553495,15802.97355914116,10.68783402442932,9.837037801742554,0.2555792354875673,,,,,7.552662183509178,7.523047290142223,0.0,1.2904721633073898e-05,20.0,0.2325748079967941,0.0,100.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,ut518szp,npboost,in_context,0,rmse,0.1371738589693174,0.2708208838898008,0.1391819867476348,0.2669020892494351,7961.617592334747,11.449307680130005,11.387752532958984,0.263362316248355,,,,,9.729160380824352,9.765611056710076,0.2,0.0001082971516786,10.0,0.2589103504433043,0.0,20.0,16.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,v7v0iz6f,npboost,in_context,0,rmse,0.1275164847484515,0.2726364363794935,0.1290794345744781,0.2781673156944813,4975.591774940491,10.756300926208496,11.681545734405518,0.2717283743901381,,,,,9.59372366859387,9.596426167676777,0.0,0.0002780425090632,10.0,0.0105542692281163,1.0,20.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,vwkn48b5,npboost,in_context,0,rmse,0.1383516838217962,0.2892418458796156,0.159578843881981,0.2871618391466566,1961.1919524669647,9.27744746208191,8.827643156051636,0.2823240703055694,,,,,9.610722257718336,9.604663191705264,0.0,0.0002507518284371,10.0,0.0302023368339538,1.0,10.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,w7pdtvjb,npboost,in_context,0,rmse,0.1196764739393194,0.2555322408831709,0.1220386037615163,0.2612163808219394,11372.970295667648,10.677800416946411,10.938986778259276,0.2502934184092021,,,,,8.594089905132007,8.646236007361143,0.2,0.0004385170256085,10.0,0.8972612866432508,1.0,20.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,wjy5ivvu,npboost,in_context,0,rmse,0.1287528418553983,0.2736764669503396,0.1234588638724305,0.2720111332792252,10258.195556640623,10.579619646072388,10.724542617797852,0.2604210003606354,,,,,9.585347764502863,9.594595326170923,0.0,0.0004548624208721,10.0,0.2953847324956156,0.0,20.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,wrf4ne3m,npboost,in_context,0,rmse,0.1386623502311492,0.2813241964674101,0.1333356568429632,0.2751095117507388,14889.939491987228,11.343483686447144,11.825119495391846,0.2692057411734289,,,,,9.416494677732285,9.415255623111715,0.0,1.5865500409725956e-05,20.0,0.019901994840577,0.0,100.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,x008bjro,npboost,in_context,0,rmse,0.1242833290637455,0.2633103874513892,0.1258574803192716,0.2686288755775744,9797.61039018631,11.305789947509766,10.603241682052612,0.2603247096820535,,,,,9.55177375070208,9.552871636173638,0.2,0.0003013710908533,5.0,0.0130634630331783,0.0,10.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,xmlladpz,npboost,in_context,0,rmse,0.2513722635492649,0.3639046215744494,0.2622826904215569,0.361376004361139,2693.44872546196,11.393216133117676,11.429538011550903,0.3574753671716946,,,,,9.009242977486894,7.34811989042743,0.2,1.090384328196852e-05,5.0,0.7717846862118062,0.0,20.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,yxm95t02,npboost,in_context,0,rmse,0.2225750197994486,0.3705937067011893,0.2181690006419365,0.3348701090912354,5489.063225746155,10.37890887260437,10.18562364578247,0.331578375833798,,,,,8.393387515241107,8.067630337340868,0.2,1.343677338411072e-05,5.0,0.1113002415673063,1.0,10.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed0,z3f5hlwh,npboost,in_context,0,rmse,0.1166864715393665,0.254272528433516,0.1200710223055056,0.2590981573324742,11312.577426195145,10.82216739654541,11.113192558288574,0.2520355687429657,,,,,9.448572871786869,9.445995026738832,0.2,0.0003600091192911,10.0,0.083744968684368,0.0,100.0,16.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,0w98a9qz,npboost,in_context,1,rmse,0.1198773085006706,0.2578307247852938,0.1179675444758713,0.2578272843100563,9427.053444623947,11.060893535614014,11.450451612472534,0.2539076033748899,,,,,9.46442610294081,9.477047852940222,0.2,0.0003600091192911,10.0,0.083744968684368,0.0,100.0,16.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,33rl5wn0,npboost,in_context,1,rmse,0.1754450132149321,0.3167993927152529,0.1645551218980294,0.2870710390962619,5793.571855306625,11.894859552383425,11.328254222869871,0.2848453433247359,,,,,9.026343257439072,8.57543488151258,0.2,2.9067203620664195e-05,5.0,0.1823458458254781,0.0,10.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,4rxqkc0r,npboost,in_context,1,rmse,0.119272420563251,0.2578062266332537,0.1203154337716328,0.2633946848634123,19522.891461372372,11.638019561767578,10.983184576034546,0.257803328748655,,,,,9.420434676752397,9.44098054909585,0.2,0.0001605191133358,20.0,0.0750195444362012,1.0,20.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,4xuu3lgp,npboost,in_context,1,rmse,0.1781727875328464,0.3322494143071349,0.1630651116553607,0.2921142620075779,4394.78145813942,11.934590101242064,10.833189249038696,0.2895905054168587,,,,,9.550785848646834,9.479346752382757,0.2,5.4597054376998136e-05,10.0,0.1053508308667582,0.0,20.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,7h4get5l,npboost,in_context,1,rmse,0.1403692139768862,0.2815450662902523,0.135427422104803,0.2733413028512978,5442.486935377121,11.148637533187866,11.73443078994751,0.2712885798965875,,,,,9.550442441439158,9.559434943209537,0.2,0.0003013710908533,5.0,0.0130634630331783,0.0,10.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,81r50gcz,npboost,in_context,1,rmse,0.1953063022251755,0.3100648433100628,0.204335081476614,0.3110372796276877,5952.1602647304535,11.0512273311615,11.47968077659607,0.309552934140715,,,,,8.417870548432427,8.171654673622593,0.2,1.343677338411072e-05,5.0,0.1113002415673063,1.0,10.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,8m4lyfar,npboost,in_context,1,rmse,0.1235806010800771,0.2708111241321791,0.1231953782036788,0.2702819876445895,10339.11641073227,11.79938006401062,11.434004545211792,0.2663279606763253,,,,,9.381549545263011,9.388502433328265,0.2,0.0002563473332261,20.0,0.1427109105814198,1.0,1000.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,8wdruh29,npboost,in_context,1,rmse,0.1725796648491186,0.3248293582809521,0.1688374901877449,0.3123069311152139,13225.739052534103,12.339646100997925,14.005877017974854,0.3119575676348139,,,,,9.570670813969652,9.45490500746006,0.2,2.017016316297149e-05,20.0,0.0582929613195039,1.0,1000.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,9rckjvl2,npboost,in_context,1,rmse,0.121407466412915,0.2598256837933979,0.120000597584728,0.2582324965183599,9814.000783443453,10.851648330688477,10.991919994354248,0.2558444864998256,,,,,8.619583059738805,8.542862329685391,0.2,0.0004385170256085,10.0,0.8972612866432508,1.0,20.0,8.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,celndoh4,npboost,in_context,1,rmse,0.1219412570272428,0.2691233747131042,0.1226774433641556,0.2697672737312561,17999.90515756607,11.577767848968506,11.790440559387209,0.2672280384484241,,,,,9.302925049934863,9.306791783997031,0.2,0.0001496922341954,10.0,0.0831211929407696,1.0,1000.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,dvglag59,npboost,in_context,1,rmse,0.1245032801297535,0.2655065522519562,0.1236291822747344,0.2670708361505978,7753.887703180313,11.02001142501831,10.92780327796936,0.2616553113120475,,,,,9.74115269185623,9.632646715472584,0.0,0.0004242243954166,10.0,0.5800570688908553,1.0,20.0,4.0,255.0,-1.0,,,,,
npboost-in_context-log_price-seed1,esy8wxzz,npboost,in_context,1,rmse,0.1229934720358917,0.2609509198577832,0.1219585115937552,0.2615771016127183,9128.633915662766,10.174674034118652,10.468204259872437,0.2589540736366844,,,,,9.510384078107371,9.517505825781369,0.2,0.0002371245680478,10.0,0.0322020325894309,1.0,100.0,16.0,255.0,-1.0,,,,,
